Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,121,17,290,51.80,100.000%,76.76954,28.94,10.80,386.0
TOTAL,1000,121,17,290,51.80,100.000%,76.76954,28.94,10.80,386.0
